date,base_currency,quote_currency,rate
2026-02-24,AUD,AUD,1.000000
2026-02-24,AUD,CAD,0.968290
2026-02-24,AUD,CHF,0.547889
2026-02-24,AUD,CNY,4.874349
2026-02-24,AUD,EUR,0.599771
2026-02-24,AUD,GBP,0.523601
2026-02-24,AUD,JPY,109.533960
2026-02-24,AUD,MXN,12.192767
2026-02-24,AUD,NOK,6.759288
2026-02-24,AUD,SEK,6.407094
2026-02-24,AUD,USD,0.706740
2026-02-24,CAD,AUD,1.032748
2026-02-24,CAD,CAD,1.000000
2026-02-24,CAD,CHF,0.565832
2026-02-24,CAD,CNY,5.033976
2026-02-24,CAD,EUR,0.619412
2026-02-24,CAD,GBP,0.540748
2026-02-24,CAD,JPY,113.121009
2026-02-24,CAD,MXN,12.592059
2026-02-24,CAD,NOK,6.980643
2026-02-24,CAD,SEK,6.616916
2026-02-24,CAD,USD,0.729885
2026-02-24,CHF,AUD,1.825187
2026-02-24,CHF,CAD,1.767310
2026-02-24,CHF,CHF,1.000000
2026-02-24,CHF,CNY,8.896597
2026-02-24,CHF,EUR,1.094694
2026-02-24,CHF,GBP,0.955670
2026-02-24,CHF,JPY,199.919914
2026-02-24,CHF,MXN,22.254074
2026-02-24,CHF,NOK,12.336962
2026-02-24,CHF,SEK,11.694143
2026-02-24,CHF,USD,1.289933
2026-02-24,CNY,AUD,0.205156
2026-02-24,CNY,CAD,0.198650
2026-02-24,CNY,CHF,0.112403
2026-02-24,CNY,CNY,1.000000
2026-02-24,CNY,EUR,0.123046
2026-02-24,CNY,GBP,0.107420
2026-02-24,CNY,JPY,22.471503
2026-02-24,CNY,MXN,2.501414
2026-02-24,CNY,NOK,1.386706
2026-02-24,CNY,SEK,1.314451
2026-02-24,CNY,USD,0.144992
2026-02-24,EUR,AUD,1.667303
2026-02-24,EUR,CAD,1.614433
2026-02-24,EUR,CHF,0.913497
2026-02-24,EUR,CNY,8.127018
2026-02-24,EUR,EUR,1.000000
2026-02-24,EUR,GBP,0.873002
2026-02-24,EUR,JPY,182.626309
2026-02-24,EUR,MXN,20.329037
2026-02-24,EUR,NOK,11.269782
2026-02-24,EUR,SEK,10.682568
2026-02-24,EUR,USD,1.178350
2026-02-24,GBP,AUD,1.909851
2026-02-24,GBP,CAD,1.849290
2026-02-24,GBP,CHF,1.046387
2026-02-24,GBP,CNY,9.309279
2026-02-24,GBP,EUR,1.145473
2026-02-24,GBP,GBP,1.000000
2026-02-24,GBP,JPY,209.193504
2026-02-24,GBP,MXN,23.286363
2026-02-24,GBP,NOK,12.909231
2026-02-24,GBP,SEK,12.236593
2026-02-24,GBP,USD,1.349768
2026-02-24,JPY,AUD,0.009130
2026-02-24,JPY,CAD,0.008840
2026-02-24,JPY,CHF,0.005002
2026-02-24,JPY,CNY,0.044501
2026-02-24,JPY,EUR,0.005476
2026-02-24,JPY,GBP,0.004780
2026-02-24,JPY,JPY,1.000000
2026-02-24,JPY,MXN,0.111315
2026-02-24,JPY,NOK,0.061710
2026-02-24,JPY,SEK,0.058494
2026-02-24,JPY,USD,0.006452
2026-02-24,MXN,AUD,0.082016
2026-02-24,MXN,CAD,0.079415
2026-02-24,MXN,CHF,0.044936
2026-02-24,MXN,CNY,0.399774
2026-02-24,MXN,EUR,0.049191
2026-02-24,MXN,GBP,0.042944
2026-02-24,MXN,JPY,8.983520
2026-02-24,MXN,MXN,1.000000
2026-02-24,MXN,NOK,0.554369
2026-02-24,MXN,SEK,0.525483
2026-02-24,MXN,USD,0.057964
2026-02-24,NOK,AUD,0.147945
2026-02-24,NOK,CAD,0.143253
2026-02-24,NOK,CHF,0.081057
2026-02-24,NOK,CNY,0.721134
2026-02-24,NOK,EUR,0.088733
2026-02-24,NOK,GBP,0.077464
2026-02-24,NOK,JPY,16.204955
2026-02-24,NOK,MXN,1.803854
2026-02-24,NOK,NOK,1.000000
2026-02-24,NOK,SEK,0.947895
2026-02-24,NOK,USD,0.104558
2026-02-24,SEK,AUD,0.156077
2026-02-24,SEK,CAD,0.151128
2026-02-24,SEK,CHF,0.085513
2026-02-24,SEK,CNY,0.760774
2026-02-24,SEK,EUR,0.093610
2026-02-24,SEK,GBP,0.081722
2026-02-24,SEK,JPY,17.095730
2026-02-24,SEK,MXN,1.903010
2026-02-24,SEK,NOK,1.054969
2026-02-24,SEK,SEK,1.000000
2026-02-24,SEK,USD,0.110306
2026-02-24,USD,AUD,1.414947
2026-02-24,USD,CAD,1.370080
2026-02-24,USD,CHF,0.775234
2026-02-24,USD,CNY,6.896948
2026-02-24,USD,EUR,0.848644
2026-02-24,USD,GBP,0.740868
2026-02-24,USD,JPY,154.984784
2026-02-24,USD,MXN,17.252123
2026-02-24,USD,NOK,9.564037
2026-02-24,USD,SEK,9.065701
2026-02-24,USD,USD,1.000000
2026-02-25,AUD,AUD,1.000000
2026-02-25,AUD,CAD,0.970182
2026-02-25,AUD,CHF,0.547851
2026-02-25,AUD,CNY,4.869488
2026-02-25,AUD,EUR,0.601151
2026-02-25,AUD,GBP,0.524405
2026-02-25,AUD,JPY,110.236446
2026-02-25,AUD,MXN,12.169467
2026-02-25,AUD,NOK,6.766066
2026-02-25,AUD,SEK,6.398560
2026-02-25,AUD,USD,0.708582
2026-02-25,CAD,AUD,1.030734
2026-02-25,CAD,CAD,1.000000
2026-02-25,CAD,CHF,0.564689
2026-02-25,CAD,CNY,5.019149
2026-02-25,CAD,EUR,0.619627
2026-02-25,CAD,GBP,0.540522
2026-02-25,CAD,JPY,113.624495
2026-02-25,CAD,MXN,12.543488
2026-02-25,CAD,NOK,6.974017
2026-02-25,CAD,SEK,6.595216
2026-02-25,CAD,USD,0.730359
2026-02-25,CHF,AUD,1.825314
2026-02-25,CHF,CAD,1.770886
2026-02-25,CHF,CHF,1.000000
2026-02-25,CHF,CNY,8.888343
2026-02-25,CHF,EUR,1.097288
2026-02-25,CHF,GBP,0.957203
2026-02-25,CHF,JPY,201.216077
2026-02-25,CHF,MXN,22.213092
2026-02-25,CHF,NOK,12.350193
2026-02-25,CHF,SEK,11.679378
2026-02-25,CHF,USD,1.293383
2026-02-25,CNY,AUD,0.205360
2026-02-25,CNY,CAD,0.199237
2026-02-25,CNY,CHF,0.112507
2026-02-25,CNY,CNY,1.000000
2026-02-25,CNY,EUR,0.123453
2026-02-25,CNY,GBP,0.107692
2026-02-25,CNY,JPY,22.638200
2026-02-25,CNY,MXN,2.499126
2026-02-25,CNY,NOK,1.389482
2026-02-25,CNY,SEK,1.314011
2026-02-25,CNY,USD,0.145515
2026-02-25,EUR,AUD,1.663477
2026-02-25,EUR,CAD,1.613875
2026-02-25,EUR,CHF,0.911338
2026-02-25,EUR,CNY,8.100280
2026-02-25,EUR,EUR,1.000000
2026-02-25,EUR,GBP,0.872335
2026-02-25,EUR,JPY,183.375762
2026-02-25,EUR,MXN,20.243625
2026-02-25,EUR,NOK,11.255194
2026-02-25,EUR,SEK,10.643856
