date,strategy_id,strategy_name,strategy_params,executed_trades,EUR_signal,USD_signal,GBP_signal,JPY_signal,CHF_signal,AUD_signal,CAD_signal,NOK_signal,SEK_signal,CNY_signal,MXN_signal,EUR,USD,GBP,JPY,CHF,AUD,CAD,NOK,SEK,CNY,MXN,current_value
2026-02-25,simple-momentum-conf0.5-size0.25,simple-momentum,conf=0.0_size=0.1,2,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,7834.87,254.45,0.0,0.0,0.0,1873.02,0.0,0.0,0.0,6560.21,0.0,9986.58
2026-02-25,simple-momentum-conf0.5-size0.5,simple-momentum,conf=0.0_size=0.25,2,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,5532.61,636.13,0.0,0.0,0.0,3217.79,0.0,0.0,0.0,15931.63,0.0,9973.47
2026-02-25,simple-momentum-conf0.5-size0.75,simple-momentum,conf=0.0_size=0.5,2,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,1065.22,1272.25,0.0,0.0,0.0,6435.59,0.0,0.0,0.0,31863.16,0.0,9946.93
2026-02-25,simple-momentum-conf0.6-size0.25,simple-momentum,conf=0.6_size=0.1,0,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026-02-25,simple-momentum-conf0.6-size0.5,simple-momentum,conf=0.6_size=0.25,0,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026-02-25,simple-momentum-conf0.6-size0.75,simple-momentum,conf=0.6_size=0.5,0,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026-02-25,simple-momentum-conf0.7-size0.25,simple-momentum,conf=0.3_size=0.1,0,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,9004.2,0.0,0.0,0.0,0.0,979.82,0.0,0.0,0.0,3257.0,0.0,9995.3
2026-02-25,simple-momentum-conf0.7-size0.5,simple-momentum,conf=0.3_size=0.25,0,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,7510.51,0.0,0.0,0.0,0.0,2449.53,0.0,0.0,0.0,8142.55,0.0,9988.26
2026-02-25,simple-momentum-conf0.7-size0.75,simple-momentum,conf=0.3_size=0.5,0,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,5021.02,0.0,0.0,0.0,0.0,4899.08,0.0,0.0,0.0,16285.01,0.0,9976.53
2026-02-26,simple-momentum-conf0.5-size0.25,simple-momentum,conf=0.0_size=0.1,2,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,6999.7,254.45,253.9,0.0,0.0,2765.53,0.0,0.0,0.0,6560.21,0.0,9983.1
2026-02-26,simple-momentum-conf0.5-size0.5,simple-momentum,conf=0.0_size=0.25,2,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,3444.69,636.13,634.75,0.0,0.0,5449.05,0.0,0.0,0.0,15931.63,0.0,9962.84
2026-02-26,simple-momentum-conf0.5-size0.75,simple-momentum,conf=0.0_size=0.5,0,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,1065.22,1272.25,0.0,0.0,0.0,6435.59,0.0,0.0,0.0,31863.16,0.0,9956.58
2026-02-26,simple-momentum-conf0.6-size0.25,simple-momentum,conf=0.6_size=0.1,0,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026-02-26,simple-momentum-conf0.6-size0.5,simple-momentum,conf=0.6_size=0.25,0,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026-02-26,simple-momentum-conf0.6-size0.75,simple-momentum,conf=0.6_size=0.5,0,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026-02-26,simple-momentum-conf0.7-size0.25,simple-momentum,conf=0.3_size=0.1,1,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,8462.53,0.0,0.0,0.0,0.0,1872.33,0.0,0.0,0.0,3257.0,0.0,9992.99
2026-02-26,simple-momentum-conf0.7-size0.5,simple-momentum,conf=0.3_size=0.25,1,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,6156.34,0.0,0.0,0.0,0.0,4680.79,0.0,0.0,0.0,8142.55,0.0,9982.49
2026-02-26,simple-momentum-conf0.7-size0.75,simple-momentum,conf=0.3_size=0.5,1,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,2312.69,0.0,0.0,0.0,0.0,9361.59,0.0,0.0,0.0,16285.01,0.0,9964.97
2026-02-24,simple-momentum-conf0.5-size0.25,simple-momentum,conf=0.0_size=0.1,3,0.00,-0.12,0.47,0.15,0.00,0.68,0.32,0.00,0.00,-0.40,0.00,8901.84,0.0,432.33,0.0,0.0,438.5,0.0,0.0,0.0,2696.68,0.0,9991.87
