date,strategy_id,eur_value,usd_value,gbp_value,jpy_value,chf_value,aud_value,cad_value,nok_value,sek_value,cny_value,mxn_value,eur_pct_change,usd_pct_change,gbp_pct_change,jpy_pct_change,chf_pct_change,aud_pct_change,cad_pct_change,nok_pct_change,sek_pct_change,cny_pct_change,mxn_pct_change,avg_pct_change,value
2026-02-24,momentum-T1-size5,1099.9970605068002,1296.1702109127,960.2903902007,200887.30445806292,1004.8398978411001,1834.0271083442,1775.8599126635002,12396.6685053082,11750.7264171553,8939.6513578922,22361.7601754995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-24,momentum-T1-size10,1099.9882440892002,1296.1598214169,960.2826929455,200885.6943520985,1004.8318437063001,1834.01240828,1775.8456790895002,12396.5691461774,11750.632234300701,8939.5797062152,22361.5809474267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-24,momentum-T1-size25,1099.9615159205,1296.1283242688999,960.2593576858,200880.8130968265,1004.8074265130001,1833.96784305,1775.8025280765,12396.267925463799,11750.3467061989,8939.3624844299,22361.0375931168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-24,momentum-T1-size50,1099.9172148937,1296.0761188033,960.2206802758,200872.7225830217,1004.766955839,1833.8939776916,1775.7310067445,12395.768662417398,11749.873453097298,8939.0024467255,22360.137001938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-24,momentum-T2-size5,1099.99103168,1296.1631066001,960.2851270615,200886.20344372868,1004.8343902889001,1834.0170561549999,1775.8501796157002,12396.600562298601,11750.662013873902,8939.602362141999,22361.6376158805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-24,momentum-T2-size10,1099.9762098664,1296.1456404072999,960.2721871213,200883.4966023158,1004.8208500116002,1833.9923429753,1775.8262508192001,12396.4335242048,11750.503678037301,8939.481905122,22361.3363044992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-24,momentum-T2-size25,1099.9326629109,1296.0943241617,960.2341691345999,200875.5438164845,1004.7810682478,1833.9197348743999,1775.7559472497003,12395.9427609718,11750.0384822989,8939.1279985163,22360.451042186003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-24,momentum-T2-size50,1099.8628650937,1296.0120735383,960.173233136,200862.79695137258,1004.7173053487002,1833.8033573619,1775.6432634278,12395.1561569556,11749.292858294099,8938.5607505673,22359.0321284017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-24,momentum-T4-size5,1099.9795547504002,1296.1494946509,960.2750313990001,200884.0990627367,1004.8238631767001,1833.9978994804999,1775.8315639617,12396.470766930102,11750.538900885,8939.5087418189,22361.403375105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-24,momentum-T4-size10,1099.9534715723,1296.1186741189,960.2521870964001,200879.3275513198,1004.7999944381002,1833.9543898923,1775.7893710602,12396.1763813426,11750.2597756869,8939.2964305577,22360.872243061902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
